Epochs,loss,accuracy,val_loss,val_accuracy
1,0.3974,0.9143,4.1498,0.2000
2,0.2897,0.8429,0.8003,0.7143
3,0.1326,0.9357,2.5417,0.4000
4,0.1235,0.9714,1.2135,0.6857
5,0.0908,0.9786,1.8198,0.6000
6,0.0475,0.9786,2.5205,0.5714
7,0.1642,0.9714,3.7593,0.3714
8,0.0527,0.9857,0.9640,0.7143
9,0.1162,0.9571,2.5122,0.5143
10,0.0775,0.9714,2.4197,0.6000
11,0.0651,0.9857,1.6697,0.6857
12,0.0354,0.9857,2.0948,0.6571
13,0.0235,0.9929,2.4821,0.6571
14,0.1324,0.9500,2.6275,0.5429
15,0.0888,0.9643,1.9988,0.6286
16,0.0144,1.0000,1.5248,0.6857
17,0.0291,0.9857,1.5810,0.6857
18,0.0272,0.9929,1.7390,0.7143
19,0.0462,0.9786,2.2820,0.6571
20,0.0487,0.9714,2.8840,0.6000
21,0.0314,1.0000,2.5864,0.6000
22,0.0135,1.0000,2.3731,0.6286
23,0.0182,1.0000,2.2143,0.6571
24,0.0125,0.9929,2.2523,0.6857
25,0.0237,0.9929,1.9252,0.7143
26,0.0422,0.9857,2.9467,0.6571
27,0.0203,0.9929,3.9498,0.5429
28,0.0149,0.9929,4.1395,0.5143
29,0.0126,1.0000,4.0640,0.6286
30,0.0048,1.0000,4.0262,0.6286
31,0.0040,1.0000,3.9670,0.6286
32,0.0188,0.9929,3.8693,0.6857
33,0.0037,1.0000,3.6964,0.6857
34,0.0036,1.0000,3.5631,0.6857
35,0.0260,0.9857,4.5052,0.6286
36,0.0341,0.9786,9.1917,0.3143
37,0.0454,0.9786,3.5684,0.7143
38,0.0092,1.0000,2.6136,0.7143
39,0.0220,0.9857,4.0120,0.6857
40,0.0374,0.9786,4.7533,0.5143
41,0.0729,0.9714,3.7216,0.6286
42,0.0106,0.9929,2.5617,0.6286
43,0.0146,0.9929,2.4847,0.6286
44,0.0295,0.9929,2.5665,0.6286
45,0.0231,0.9857,3.0040,0.6000
46,0.0522,0.9643,3.1284,0.6286
47,0.0901,0.9643,2.1507,0.6571
48,0.0274,1.0000,1.9750,0.7143
49,0.0391,0.9714,1.8225,0.7143
50,0.0232,1.0000,1.8384,0.7143
